acct_no,pay_dt,amt_recd,emi_due,brnch,mode,receipt_no
LN100001,09/10/2025,49078,49078,"Bengaluru - Indiranagar",NEFT,RCP600000
LN100002,07/14/2025,53340,53340,"Hyderabad - Gachibowli",NEFT,RCP600001
LN100002,08/13/2025,53340,53340,"Hyderabad - Gachibowli",Cash,RCP600002
LN100003,08/15/2025,35502,35502,"Pune - Kothrud",UPI,RCP600003
LN100003,09/14/2025,35502,35502,"Pune - Kothrud",UPI,RCP600004
LN100003,10/14/2025,35502,35502,"Pune - Kothrud",Cash,RCP600005
LN100003,11/13/2025,35502,35502,"Pune - Kothrud",ACH,RCP600006
LN100004,07/15/2024,57671,57671,"Hyderabad - Gachibowli",Auto Debit,RCP600007
LN100004,08/14/2024,"57,671",57671,"Hyderabad - Gachibowli",Auto Debit,RCP600008
LN100004,09/13/2024,57671,57671,"Hyderabad - Gachibowli",Auto Debit,RCP600009
LN100004,10/13/2024,57671,57671,"Hyderabad - Gachibowli",Cheque,RCP600010
LN100005,11/17/2024,"34,702",34702,"Chennai - T Nagar",Auto Debit,RCP600011
LN100006,11/08/2025,10945,21889,"Bengaluru - Whitefield",Cheque,RCP600012
LN100006,12/08/2025,"21,889",21889,"Bengaluru - Whitefield",ACH,RCP600013
LN100007,08/21/2024,13373,13373,"Pune - Kothrud",ACH,RCP600014
LN100007,09/20/2024,13373,13373,"Pune - Kothrud",Cash,RCP600015
LN100007,10/20/2024,"13,373",13373,"Pune - Kothrud",NEFT,RCP600016
LN100008,04/15/2024,"78,434",78434,"Mumbai - Andheri",Cheque,RCP600017
LN100008,05/15/2024,39217,78434,"Mumbai - Andheri",Cheque,RCP600018
LN100009,05/31/2024,"1,28,979",128979,"Bengaluru - Whitefield",NEFT,RCP600019
LN100009,06/30/2024,128979,128979,"Bengaluru - Whitefield",NEFT,RCP600020
LN100009,07/30/2024,"1,28,979",128979,"Bengaluru - Whitefield",Cash,RCP600021
LN100009,08/29/2024,128979,128979,"Bengaluru - Whitefield",ACH,RCP600022
LN100010,08/08/2025,86229,86229,"Mumbai - Andheri",Cash,RCP600023
LN100010,09/07/2025,86229,86229,"Mumbai - Andheri",UPI,RCP600024
LN100011,04/03/2024,96798,96798,"Lucknow - Hazratganj",Cheque,RCP600025
LN100011,05/03/2024,96798,96798,"Lucknow - Hazratganj",Auto Debit,RCP600026
LN100012,08/15/2025,"1,19,155",119155,"Pune - Kothrud",Auto Debit,RCP600027
LN100013,06/15/2024,"47,197",47197,"Chennai - T Nagar",Cheque,RCP600028
LN100013,07/15/2024,47197,47197,"Chennai - T Nagar",UPI,RCP600029
LN100013,08/14/2024,47197,47197,"Chennai - T Nagar",Cheque,RCP600030
LN100015,09/15/2025,100403,100403,"Lucknow - Hazratganj",ACH,RCP600031
LN100015,10/15/2025,100403,100403,"Lucknow - Hazratganj",Cash,RCP600032
LN100015,11/14/2025,100403,100403,"Lucknow - Hazratganj",Cheque,RCP600033
LN100016,07/05/2024,35566,35566,"Bengaluru - Whitefield",Auto Debit,RCP600034
LN100016,08/04/2024,35566,35566,"Bengaluru - Whitefield",Cash,RCP600035
LN100017,06/04/2025,"1,55,467",155467,"Bengaluru - Indiranagar",ACH,RCP600036
LN100019,03/28/2024,63834,63834,"Hyderabad - Gachibowli",NEFT,RCP600037
LN100019,04/27/2024,63834,63834,"Hyderabad - Gachibowli",Cash,RCP600038
LN100019,05/27/2024,63834,63834,"Hyderabad - Gachibowli",Cash,RCP600039
LN100019,06/26/2024,"63,834",63834,"Hyderabad - Gachibowli",Cheque,RCP600040
LN100020,10/10/2025,124494,124494,"Chennai - T Nagar",UPI,RCP600041
LN100020,11/09/2025,124494,124494,"Chennai - T Nagar",Auto Debit,RCP600042
LN100020,12/09/2025,"1,24,494",124494,"Chennai - T Nagar",UPI,RCP600043
LN100021,05/18/2025,20952,20952,"Chennai - T Nagar",NEFT,RCP600044
LN100021,06/17/2025,"20,952",20952,"Chennai - T Nagar",Cash,RCP600045
LN100021,07/17/2025,20952,20952,"Chennai - T Nagar",Cheque,RCP600046
LN100021,08/16/2025,20952,20952,"Chennai - T Nagar",UPI,RCP600047
LN100022,01/19/2025,50437,50437,"Pune - Kothrud",ACH,RCP600048
LN100022,02/18/2025,"50,437",50437,"Pune - Kothrud",Auto Debit,RCP600049
LN100022,03/20/2025,50437,50437,"Pune - Kothrud",Cheque,RCP600050
LN100022,04/19/2025,50437,50437,"Pune - Kothrud",Cash,RCP600051
LN100023,04/14/2024,29058,29058,"Mumbai - Andheri",NEFT,RCP600052
LN100024,12/16/2025,57153,57153,"Jaipur - Malviya Nagar",ACH,RCP600053
LN100025,08/31/2025,50215,50215,"Pune - Hinjewadi",NEFT,RCP600054
LN100025,09/30/2025,50215,50215,"Pune - Hinjewadi",Cash,RCP600055
LN100025,10/30/2025,50215,50215,"Pune - Hinjewadi",Cash,RCP600056
LN100026,07/28/2024,"48,781",48781,"Mumbai - Andheri",UPI,RCP600057
LN100026,08/27/2024,48781,48781,"Mumbai - Andheri",Auto Debit,RCP600058
LN100027,03/25/2025,11707,11707,"Bengaluru - Whitefield",Auto Debit,RCP600059
LN100028,11/14/2025,126036,126036,"Pune - Kothrud",Auto Debit,RCP600060
LN100028,12/14/2025,126036,126036,"Pune - Kothrud",Cheque,RCP600061
LN100029,10/22/2024,"0",13616,"Jaipur - Malviya Nagar",ACH,RCP600062
LN100029,11/21/2024,13616,13616,"Jaipur - Malviya Nagar",Auto Debit,RCP600063
LN100029,12/21/2024,"13,616",13616,"Jaipur - Malviya Nagar",Cash,RCP600064
LN100029,01/20/2025,0,13616,"Jaipur - Malviya Nagar",Cheque,RCP600065
LN100030,06/05/2025,16022,16022,"Lucknow - Hazratganj",NEFT,RCP600066
LN100031,12/18/2024,9595,9595,"Bengaluru - Whitefield",Auto Debit,RCP600067
LN100032,06/13/2025,27592,27592,"Mumbai - Andheri",Auto Debit,RCP600068
